Data,Defeito,H2,CH4,C2H2,C2H4,C2H6,Fonte
16/5/2008,Normal,10,0,0,2,0,CPFL
27/11/2007,Normal,13,0,0,1,0,CPFL
19/10/2010,Normal,10,2,0,2,0,CPFL
14/4/2010,Normal,14,1,0,1,0,CPFL
22/10/2009,Normal,11,1,0,11,1,CPFL
19/4/2009,Normal,21,1,0,12,2,CPFL
19/7/2010,Normal,2,3,0,5,2,CPFL
1/6/2009,Normal,6,1,0,3,1,CPFL
7/11/2008,Normal,0,1,0,12,0,CPFL
8/5/2008,Normal,32,0,0,7,0,CPFL
10/6/2009,Normal,16,0,0,13,1,CPFL
11/12/2008,Normal,17,0,0,13,1,CPFL
2/6/2008,Normal,19,4,0,11,0,CPFL
8/12/2007,Normal,15,3,0,12,0,CPFL
8/12/2007,Normal,12,7,0,37,4,CPFL
29/6/2007,Normal,23,3,0,35,5,CPFL
10/9/2010,Normal,18,11,0,31,6,CPFL
9/3/2010,Normal,6,5,0,15,6,CPFL
18/9/2009,Normal,34,6,0,14,3,CPFL
8/3/2009,Normal,25,7,0,22,2,CPFL
10/9/2010,Normal,12,0,0,8,1,CPFL
10/3/2010,Normal,20,0,0,8,2,CPFL
21/9/2009,Normal,23,0,0,29,1,CPFL
7/3/2009,Normal,6,1,0,32,1,CPFL
9/8/2008,Normal,23,2,0,25,1,CPFL
3/1/2008,Normal,20,3,0,32,0,CPFL
15/10/2010,Normal,3,1,0,5,0,CPFL
16/4/2010,Normal,11,1,0,1,1,CPFL
14/3/2008,Normal,5,0,0,15,2,CPFL
7/9/2007,Normal,0,5,0,20,3,CPFL
1/7/2010,Normal,0,2,0,19,9,CPFL
16/12/2009,Normal,4,1,0,37,1,CPFL
26/6/2009,Normal,7,0,0,7,1,CPFL
24/12/2008,Normal,6,0,0,5,1,CPFL
13/6/2008,Normal,3,3,0,4,0,CPFL
13/12/2007,Normal,5,0,0,21,1,CPFL
18/11/2010,Normal,0,1,0,17,1,CPFL
18/5/2010,Normal,0,0,0,13,0,CPFL
30/11/2009,Normal,0,2,0,14,1,CPFL
11/5/2009,Normal,5,5,0,22,0,CPFL
20/3/2008,Normal,6,0,0,2,1,CPFL
17/9/2007,Normal,8,0,0,1,1,CPFL
17/9/2007,Normal,4,0,0,9,0,CPFL
15/3/2007,Normal,0,1,0,9,3,CPFL
19/7/2010,Normal,22,0,0,23,0,CPFL
15/3/2010,Normal,14,0,0,29,1,CPFL
3/7/2009,Normal,11,1,0,25,1,CPFL
2/7/2009,Normal,0,3,0,19,0,CPFL
10/12/2008,Normal,7,0,0,14,1,CPFL
14/6/2008,Normal,9,0,0,14,0,CPFL
15/4/2008,Normal,0,3,0,16,0,CPFL
20/10/2007,Normal,0,2,0,9,0,CPFL
30/5/2009,Normal,0,7,0,0,0,CPFL
7/5/2008,Normal,3,35,0,29,80,CPFL
3/11/2008,Normal,23,37,0,21,70,CPFL
7/5/2008,Normal,15,27,0,7,54,CPFL
30/11/2009,Normal,5,48,0,18,77,CPFL
11/5/2009,Normal,33,29,0,6,40,CPFL
17/3/2009,Normal,10,29,0,4,45,CPFL
18/8/2008,Normal,22,24,0,3,27,CPFL
26/2/2008,Normal,4,25,0,5,32,CPFL
19/8/2007,Normal,0,10,0,20,7,CPFL
19/8/2007,Normal,9,0,0,10,2,CPFL
20/2/2007,Normal,7,5,0,20,5,CPFL
25/6/2010,Normal,7,4,0,22,5,CPFL
30/5/2009,Normal,0,9,0,13,4,CPFL
3/11/2008,Normal,0,6,0,4,2,CPFL
7/5/2008,Normal,12,1,0,30,0,CPFL
10/9/2010,Normal,0,3,0,29,0,CPFL
9/3/2010,Normal,0,1,0,28,0,CPFL
18/9/2009,Normal,3,64,0,17,28,CPFL
27/3/2009,Normal,14,81,0,18,27,CPFL
10/1/2009,Normal,0,51,0,35,12,CPFL
5/7/2008,Normal,16,61,0,28,19,CPFL
4/1/2008,Normal,4,82,0,12,77,CPFL
13/7/2007,Normal,0,64,0,6,56,CPFL
14/6/2010,Normal,0,74,0,6,58,CPFL
13/12/2009,Normal,0,57,0,2,16,CPFL
14/10/2008,Normal,3,24,0,20,6,CPFL
22/4/2008,Normal,0,18,0,21,6,CPFL
16/10/2007,Normal,0,13,0,21,4,CPFL
21/4/2007,Normal,0,26,0,24,6,CPFL
13/9/2010,Normal,5,27,0,22,5,CPFL
10/3/2010,Normal,0,41,0,16,7,CPFL
18/9/2009,Normal,10,44,0,27,15,CPFL
8/3/2009,Normal,8,52,0,23,11,CPFL
6/8/2008,Normal,0,43,0,27,14,CPFL
15/2/2008,Normal,3,47,0,24,13,CPFL
22/11/2010,Normal,15,77,0,8,114,CPFL
14/5/2010,Normal,12,71,0,6,121,CPFL
30/11/2009,Normal,29,73,0,13,105,CPFL
30/5/2009,Normal,0,0,0,27,1,CPFL
22/10/2008,Normal,5,0,0,30,2,CPFL
24/4/2008,Normal,4,6,0,15,0,CPFL
11/9/2010,Normal,0,5,0,2,0,CPFL
8/3/2010,Normal,0,24,0,0,18,CPFL
18/9/2009,Normal,4,20,0,4,12,CPFL
16/3/2009,Normal,5,31,0,4,8,CPFL
11/5/2009,Normal,0,25,0,4,4,CPFL
9/10/2008,Normal,0,10,0,1,2,CPFL
23/4/2008,Normal,12,25,0,1,3,CPFL
23/10/2007,Normal,0,3,0,32,2,CPFL
23/10/2007,Normal,0,20,0,2,4,CPFL
23/4/2007,Normal,5,10,0,2,4,CPFL
17/11/2010,Normal,0,8,0,2,4,CPFL
24/5/2010,Normal,0,16,0,0,0,CPFL
16/11/2009,Normal,0,16,0,0,25,CPFL
18/5/2009,Normal,0,0,0,34,1,CPFL
7/5/2009,Normal,17,0,0,28,2,CPFL
15/10/2008,Normal,11,1,0,36,5,CPFL
24/4/2008,Normal,5,2,0,27,5,CPFL
21/10/2007,Normal,19,2,0,25,4,CPFL
21/10/2007,Normal,0,8,0,19,0,CPFL
13/4/2007,Normal,0,1,0,37,0,CPFL
17/6/2010,Normal,0,2,0,19,0,CPFL
11/12/2009,Normal,16,25,0,7,15,CPFL
10/6/2009,Normal,18,41,0,8,16,CPFL
10/8/2010,Normal,13,37,0,3,4,CPFL
11/7/2008,Normal,8,26,0,1,8,CPFL
5/1/2008,Normal,6,9,0,32,3,CPFL
17/7/2007,Normal,4,6,0,20,0,CPFL
9/9/2010,Normal,9,35,0,15,3,CPFL
15/3/2010,Normal,4,18,0,7,2,CPFL
23/9/2009,Normal,15,3,0,3,1,CPFL
27/8/2009,Normal,23,38,0,18,9,CPFL
7/8/2008,Normal,4,4,0,25,9,CPFL
8/3/2008,Normal,3,6,0,15,8,CPFL
11/2/2008,Normal,0,5,0,4,5,CPFL
13/8/2007,Normal,0,6,0,2,11,CPFL
21/2/2007,Normal,31,63,0,3,11,CPFL
19/11/2010,Normal,22,66,0,9,9,CPFL
21/5/2010,Normal,20,48,0,9,9,CPFL
17/10/2007,Normal,8,64,0,7,16,CPFL
17/4/2007,Normal,23,69,0,8,13,CPFL
15/11/2010,Normal,5,91,0,3,29,CPFL
13/5/2010,Normal,8,71,0,3,22,CPFL
15/11/2008,Normal,0,83,0,1,31,CPFL
10/5/2008,Normal,0,64,0,1,21,CPFL
21/11/2007,Normal,0,0,0,0,8,CPFL
18/5/2007,Normal,12,77,0,2,25,CPFL
20/6/2010,Normal,0,48,0,0,8,CPFL
15/12/2009,Normal,0,44,0,0,6,CPFL
14/11/2009,Normal,0,26,0,0,1,CPFL
8/5/2009,Normal,4,37,0,0,9,CPFL
22/3/2009,Normal,0,3,0,29,9,CPFL
14/9/2008,Normal,0,1,0,27,6,CPFL
14/9/2008,Normal,5,4,0,27,2,CPFL
17/3/2008,Normal,0,15,0,1,4,CPFL
7/5/2009,Normal,0,10,0,1,1,CPFL
31/3/2009,Normal,9,17,0,3,5,Zhang (2013)
20/12/2008,Normal,9,19,0,2,5,Zhang (2013)
7/6/2008,Normal,3,10,0,2,1,Zhang (2013)
15/12/2007,Normal,15,19,0,1,7,Zhang (2013)
22/6/2007,Normal,15,18,0,3,1,Zhang (2013)
17/6/2010,Normal,0,7,0,1,3,Zhang (2013)
11/12/2009,Normal,7,0,0,2,1,Zhang (2013)
30/3/2009,Normal,7,4,0,2,1,Zhang (2013)
10/1/2009,Normal,7,4,0,1,0,Zhang (2013)
5/7/2008,Normal,5,5,0,1,0,Zhang (2013)
4/1/2008,Normal,7,5,0,1,0,Zhang (2013)
10/10/2009,Normal,0,22,0,0,8,Zhang (2013)
22/3/2009,Normal,33,15,0,0,4,Zhang (2013)
20/8/2008,Normal,16,20,0,3,8,Zhang (2013)
18/2/2008,Normal,14,22,0,2,9,Zhang (2013)
18/2/2008,Normal,2,16,0,0,4,Zhang (2013)
23/8/2007,Normal,10,11,0,1,5,Zhang (2013)
22/11/2009,Normal,5,54,0,9,9,Zhang (2013)
22/4/2009,Normal,6,54,0,10,21,Zhang (2013)
22/3/2009,Normal,8,42,0,8,8,Zhang (2013)
26/12/2008,Normal,33,45,0,5,5,Zhang (2013)
16/6/2008,Normal,11,47,0,6,5,Zhang (2013)
