Id,Defeito,H2,CH4,C2H2,C2H4,C2H6,Fonte
149,1,7,2,0,1,1,CPFL
150,1,25,1,7,11,1,CPFL
150,1,2,4,0,7,0,CPFL
151,1,4,1,0,2,0,CPFL
151,1,15,3,0,0,0,CPFL
152,1,15,3,0,0,0,CPFL
152,1,2,0,0,0,0,CPFL
153,1,0,0,0,18,0,CPFL
153,1,2,0,0,11,0,CPFL
154,1,2,0,0,18,0,CPFL
154,1,4,0,0,13,0,CPFL
155,1,0,1,0,27,0,CPFL
155,1,0,0,0,19,0,CPFL
156,1,4,0,0,26,0,CPFL
156,1,5,0,0,31,0,CPFL
157,1,0,1,0,26,0,CPFL
157,1,31,1,0,28,1,CPFL
158,1,12,0,0,26,0,CPFL
158,1,0,0,0,16,0,CPFL
159,1,0,1,0,20,0,CPFL
159,1,0,0,0,9,0,CPFL
160,1,0,1,0,0,0,CPFL
160,1,3,4,0,1,0,CPFL
161,1,2,0,0,1,0,CPFL
161,1,0,1,0,1,0,CPFL
162,1,0,1,0,1,0,CPFL
162,1,0,1,0,0,2,CPFL
163,1,0,0,0,0,0,CPFL
163,1,0,0,0,0,0,CPFL
164,1,4,0,0,2,1,CPFL
164,1,3,0,0,1,0,CPFL
165,1,0,1,0,1,0,CPFL
165,1,0,0,0,0,0,CPFL
166,1,0,0,0,0,0,CPFL
166,1,0,4,0,0,0,CPFL
167,1,0,0,0,0,0,CPFL
167,1,0,0,0,0,0,CPFL
168,1,0,0,0,0,0,CPFL
168,1,0,0,0,0,0,CPFL
169,1,0,1,0,23,0,CPFL
169,1,0,1,0,14,0,CPFL
170,1,21,2,0,10,0,CPFL
170,1,12,1,0,21,0,CPFL
171,1,3,2,0,14,1,CPFL
171,1,35,2,0,1,5,CPFL
172,1,21,2,0,2,0,CPFL
172,1,35,2,0,1,5,CPFL
173,1,5,0,0,2,0,CPFL
173,1,4,0,0,1,0,CPFL
174,1,4,0,0,2,0,CPFL
174,1,0,1,0,0,0,CPFL
175,1,0,1,0,0,0,CPFL
175,1,0,0,0,0,0,CPFL
176,1,0,0,0,0,0,CPFL
176,1,4,4,0,0,0,CPFL
177,1,0,0,0,0,0,CPFL
177,1,13,0,0,3,1,CPFL
178,1,33,6,0,9,2,CPFL
178,1,24,1,0,3,1,CPFL
179,1,0,0,0,0,0,CPFL
179,1,2,0,0,0,0,CPFL
180,1,2,0,0,1,1,CPFL
180,1,4,0,0,1,1,CPFL
181,1,0,2,0,0,0,CPFL
181,1,0,1,0,0,0,CPFL
182,1,14,2,0,1,1,CPFL
182,1,0,3,0,5,0,CPFL
183,1,0,0,0,5,0,CPFL
183,1,4,0,0,6,1,CPFL
184,1,0,1,0,5,0,CPFL
184,1,0,2,0,0,0,CPFL
185,1,0,1,0,4,0,CPFL
185,1,7,0,0,0,0,CPFL
186,1,0,0,0,7,0,CPFL
186,1,0,0,0,3,0,CPFL
187,1,9,0,0,5,0,CPFL
187,1,8,0,0,5,1,CPFL
188,1,0,1,0,1,1,CPFL
188,1,0,1,0,1,0,CPFL
189,1,42,4,0,2,1,CPFL
189,1,0,4,0,1,1,CPFL
190,1,22,0,0,3,1,CPFL
190,1,24,3,0,2,2,CPFL
191,1,24,4,0,0,0,CPFL
191,1,13,1,0,0,0,CPFL
192,1,0,1,0,1,2,CPFL
192,1,32,0,0,1,1,CPFL
193,1,26,1,0,5,4,CPFL
193,1,47,2,0,7,4,CPFL
194,1,10,0,0,51,1,CPFL
194,1,2,3,0,63,3,CPFL
195,1,3,2,0,57,0,CPFL
195,1,8,1,0,47,1,CPFL
196,1,8,1,0,47,1,CPFL
196,1,6,3,0,55,0,CPFL
197,1,28,0,0,11,0,CPFL
197,1,0,1,0,7,0,CPFL
198,1,6,0,0,11,0,CPFL
198,1,2,0,0,8,3,CPFL
199,1,5,0,0,1,1,CPFL
199,1,0,1,0,0,0,CPFL
200,1,0,1,0,0,0,CPFL
200,1,0,1,0,0,0,CPFL
201,1,0,1,0,0,0,CPFL
201,1,6,5,0,0,0,CPFL
202,1,0,0,0,0,0,CPFL
202,1,8,0,0,16,1,CPFL
203,1,7,0,0,18,1,CPFL
203,1,20,3,0,17,0,CPFL
204,1,0,0,0,3,0,CPFL
204,1,8,1,0,2,0,CPFL
205,1,12,0,0,57,0,CPFL
205,1,19,7,0,26,1,CPFL
206,1,0,0,0,1,0,CPFL
206,1,3,0,0,1,1,CPFL
207,1,0,0,0,0,0,CPFL
207,1,4,1,0,11,0,CPFL
208,1,22,0,0,15,1,CPFL
208,1,9,0,0,4,0,CPFL
209,1,0,1,0,5,0,CPFL
209,1,15,4,0,11,0,CPFL
210,1,29,3,0,24,1,CPFL
210,1,0,2,0,16,1,CPFL
211,1,29,4,0,20,0,CPFL
211,1,18,5,0,14,1,CPFL
212,1,21,0,0,12,0,CPFL
212,1,0,0,0,8,0,CPFL
213,1,0,1,0,14,0,CPFL
213,1,4,1,0,7,2,CPFL
214,1,16,2,0,10,0,CPFL
214,1,3,2,0,13,0,CPFL
215,1,0,0,0,17,1,CPFL
215,1,10,0,0,23,3,CPFL
216,1,7,0,0,23,3,CPFL
216,1,7,4,0,35,5,CPFL
217,1,7,1,0,35,5,CPFL
217,1,0,5,0,57,8,CPFL
218,1,0,5,0,57,8,CPFL
218,1,0,12,0,79,10,CPFL
219,1,10,0,0,13,0,CPFL
219,1,18,0,0,14,1,CPFL
220,1,0,1,0,8,0,CPFL
220,1,0,1,0,6,0,CPFL
221,1,0,0,0,6,0,CPFL
221,1,16,0,0,3,0,CPFL
222,1,0,0,0,0,0,CPFL
222,1,10,0,0,2,0,CPFL
223,1,13,0,0,1,0,CPFL
223,1,10,2,0,2,0,CPFL
224,1,14,1,0,1,0,CPFL
224,1,39,1,0,1,1,CPFL
225,1,11,1,0,11,1,CPFL
225,1,21,1,0,12,2,CPFL
226,1,2,3,0,5,2,CPFL
226,1,6,1,0,3,1,CPFL
227,1,6,1,0,3,1,CPFL
227,1,2,0,0,0,0,CPFL
228,1,32,0,0,75,1,CPFL
228,1,33,2,0,102,2,CPFL
229,1,38,1,0,93,2,CPFL
229,1,22,2,0,77,2,CPFL
230,1,20,2,0,94,1,CPFL
230,1,62,2,0,115,0,CPFL
231,1,62,2,0,115,0,CPFL
231,1,39,7,0,99,0,CPFL
232,1,0,1,0,12,0,CPFL
232,1,32,0,0,7,0,CPFL
233,1,16,0,0,13,1,CPFL
233,1,17,0,0,13,1,CPFL
234,1,19,4,0,11,0,CPFL
234,1,15,3,0,12,0,CPFL
235,1,16,11,0,41,5,CPFL
235,1,12,7,0,37,4,CPFL
236,1,23,3,0,35,5,CPFL
236,1,18,11,0,31,6,CPFL
237,1,6,5,0,15,6,CPFL
237,1,34,6,0,14,3,CPFL
238,1,25,7,0,22,2,CPFL
238,1,0,0,0,4,0,CPFL
239,1,12,0,0,8,1,CPFL
239,1,20,0,0,8,2,CPFL
240,1,23,0,0,29,1,CPFL
240,1,17,2,0,41,1,CPFL
241,1,6,1,0,32,1,CPFL
241,1,23,2,0,25,1,CPFL
242,1,23,2,0,25,1,CPFL
242,1,20,3,0,32,0,CPFL
243,1,3,1,0,5,0,CPFL
243,1,11,1,0,1,1,CPFL
244,1,5,0,0,15,2,CPFL
244,1,0,5,0,20,3,CPFL
245,1,0,2,0,19,9,CPFL
245,1,4,1,0,37,1,CPFL
246,1,4,1,0,37,1,CPFL
246,1,18,6,0,75,3,CPFL
247,1,0,0,0,3,0,CPFL
247,1,7,0,0,7,1,CPFL
248,1,6,0,0,5,1,CPFL
248,1,3,3,0,4,0,CPFL
249,1,0,1,0,3,0,CPFL
249,1,0,1,0,3,0,CPFL
250,1,0,1,0,3,0,CPFL
250,1,0,0,0,0,0,CPFL
251,1,5,0,0,21,1,CPFL
251,1,0,1,0,17,1,CPFL
252,1,0,0,0,13,0,CPFL
252,1,0,2,0,14,1,CPFL
253,1,0,2,0,14,1,CPFL
253,1,5,5,0,22,0,CPFL
254,1,0,0,0,0,0,CPFL
254,1,6,0,0,2,1,CPFL
255,1,8,0,0,1,1,CPFL
255,1,3,1,0,1,0,CPFL
256,1,4,0,0,9,0,CPFL
256,1,0,1,0,9,3,CPFL
257,1,0,1,0,6,0,CPFL
257,1,0,0,0,0,0,CPFL
258,1,0,0,0,0,0,CPFL
258,1,0,3,0,9,0,CPFL
259,1,52,0,0,0,0,CPFL
259,1,101,0,0,1,1,CPFL
260,1,50,0,0,3,1,CPFL
260,1,62,0,0,3,1,CPFL
261,1,0,0,0,0,0,CPFL
261,1,45,1,0,1,1,CPFL
262,1,44,0,0,0,0,CPFL
262,1,51,7,0,3,1,CPFL
263,1,0,0,0,3,0,CPFL
263,1,0,0,0,1,0,CPFL
264,1,25,0,0,64,2,CPFL
264,1,62,1,0,71,0,CPFL
